127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001133
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/js/share.js, HTTP/1.1, 304, 0.001305
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/images/twitter.png, HTTP/1.1, 304, 0.000779
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/images/facebook.png, HTTP/1.1, 304, 0.000640
127.0.0.1, 2017-04-01 17:47:08, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 304, 0.000421
127.0.0.1, 2017-04-01 17:48:18, POST, /joinup/default/settings, HTTP/1.1, 200, 0.033119
127.0.0.1, 2017-04-01 17:48:37, GET, /joinup/default/profile, HTTP/1.1, 500, 0.037868
127.0.0.1, 2017-04-01 17:48:46, GET, /joinup/default/profile/aslesha, HTTP/1.1, 200, 0.021916
127.0.0.1, 2017-04-01 17:48:57, GET, /joinup/default/profile/Aslesha, HTTP/1.1, 200, 0.028298
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/default/profile/Aslesha, HTTP/1.1, 200, 0.029512
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000499
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/js/calendar.js, HTTP/1.1, 304, 0.000613
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000457
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/js/jquery.js, HTTP/1.1, 304, 0.001054
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/js/web2py.js, HTTP/1.1, 304, 0.001603
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002371
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001619
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/css/calendar.css, HTTP/1.1, 304, 0.000441
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/js/share.js, HTTP/1.1, 304, 0.001759
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001511
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 304, 0.000329
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/images/facebook.png, HTTP/1.1, 304, 0.000869
127.0.0.1, 2017-04-01 17:53:50, GET, /joinup/static/images/twitter.png, HTTP/1.1, 304, 0.000575
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/default/profile/Aslesha, HTTP/1.1, 200, 0.024624
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000577
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000225
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/css/calendar.css, HTTP/1.1, 304, 0.001114
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001035
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/js/web2py.js, HTTP/1.1, 304, 0.001132
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001347
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/js/jquery.js, HTTP/1.1, 304, 0.001898
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/js/calendar.js, HTTP/1.1, 304, 0.001014
